Epoch [1/20], Step [0/10], Loss: 1.7904626, Running Loss: 1.790463 
Epoch [2/20], Step [0/10], Loss: 1.2766037, Running Loss: 1.500226 
Epoch [3/20], Step [0/10], Loss: 0.9328544, Running Loss: 1.317349 
Epoch [4/20], Step [0/10], Loss: 0.5276197, Running Loss: 1.157578 
Epoch [5/20], Step [0/10], Loss: 0.5731555, Running Loss: 1.051603 
Epoch [6/20], Step [0/10], Loss: 0.4657296, Running Loss: 0.968254 
Epoch [7/20], Step [0/10], Loss: 0.4200137, Running Loss: 0.902416 
Epoch [8/20], Step [0/10], Loss: 0.3247302, Running Loss: 0.832586 
Epoch [9/20], Step [0/10], Loss: 0.3956663, Running Loss: 0.769018 
Epoch [10/20], Step [0/10], Loss: 0.2302429, Running Loss: 0.709013 
Epoch [11/20], Step [0/10], Loss: 0.2084716, Running Loss: 0.659170 
Epoch [12/20], Step [0/10], Loss: 0.1451026, Running Loss: 0.619938 
Epoch [13/20], Step [0/10], Loss: 0.1123438, Running Loss: 0.606125 
Epoch [14/20], Step [0/10], Loss: 0.3783206, Running Loss: 0.581971 
Epoch [15/20], Step [0/10], Loss: 0.1523711, Running Loss: 0.553795 
Epoch [16/20], Step [0/10], Loss: 0.0764774, Running Loss: 0.524856 
Epoch [17/20], Step [0/10], Loss: 0.0925746, Running Loss: 0.499898 
Epoch [18/20], Step [0/10], Loss: 0.0453421, Running Loss: 0.475261 
Epoch [19/20], Step [0/10], Loss: 0.0381313, Running Loss: 0.452194 
Epoch [20/20], Step [0/10], Loss: 0.0380829, Running Loss: 0.432653 
