Epoch [1/20], Step [0/10], Loss: 1.7969719, Running Loss: 1.796972 
Epoch [2/20], Step [0/10], Loss: 1.2577269, Running Loss: 1.509966 
Epoch [3/20], Step [0/10], Loss: 0.9371170, Running Loss: 1.324879 
Epoch [4/20], Step [0/10], Loss: 0.7708316, Running Loss: 1.180524 
Epoch [5/20], Step [0/10], Loss: 0.5538149, Running Loss: 1.055142 
Epoch [6/20], Step [0/10], Loss: 0.3981380, Running Loss: 0.967113 
Epoch [7/20], Step [0/10], Loss: 0.3485364, Running Loss: 0.889266 
Epoch [8/20], Step [0/10], Loss: 0.3191752, Running Loss: 0.817187 
Epoch [9/20], Step [0/10], Loss: 0.2650680, Running Loss: 0.754998 
Epoch [10/20], Step [0/10], Loss: 0.1517965, Running Loss: 0.698960 
Epoch [11/20], Step [0/10], Loss: 0.2992618, Running Loss: 0.660130 
Epoch [12/20], Step [0/10], Loss: 0.2732821, Running Loss: 0.628803 
Epoch [13/20], Step [0/10], Loss: 0.2807463, Running Loss: 0.595157 
Epoch [14/20], Step [0/10], Loss: 0.1600733, Running Loss: 0.562080 
Epoch [15/20], Step [0/10], Loss: 0.1906999, Running Loss: 0.530186 
Epoch [16/20], Step [0/10], Loss: 0.0803780, Running Loss: 0.501171 
Epoch [17/20], Step [0/10], Loss: 0.1484090, Running Loss: 0.475641 
Epoch [18/20], Step [0/10], Loss: 0.0416954, Running Loss: 0.452156 
Epoch [19/20], Step [0/10], Loss: 0.0384937, Running Loss: 0.429887 
Epoch [20/20], Step [0/10], Loss: 0.0555915, Running Loss: 0.409700 
